Feature: workclass | Category: State-gov | Precision: 0.770 | Recall: 0.246 Fbeta: 0.373 | Number of samples: 1298
Feature: relationship | Category: Unmarried | Precision: 0.521 | Recall: 0.335 Fbeta: 0.408 | Number of samples: 3446
Feature: relationship | Category: Other-relative | Precision: 0.438 | Recall: 0.378 Fbeta: 0.406 | Number of samples: 981
Feature: race | Category: White | Precision: 0.728 | Recall: 0.260 Fbeta: 0.383 | Number of samples: 27816
Feature: race | Category: Black | Precision: 0.620 | Recall: 0.266 Fbeta: 0.373 | Number of samples: 3124
Feature: race | Category: Asian-Pac-Islander | Precision: 0.709 | Recall: 0.264 Fbeta: 0.385 | Number of samples: 1039
Feature: race | Category: Amer-Indian-Eskimo | Precision: 0.478 | Recall: 0.306 Fbeta: 0.373 | Number of samples: 311
Feature: race | Category: Other | Precision: 0.571 | Recall: 0.320 Fbeta: 0.410 | Number of samples: 271
Feature: sex | Category: Male | Precision: 0.767 | Recall: 0.256 Fbeta: 0.384 | Number of samples: 21790
Feature: sex | Category: Female | Precision: 0.543 | Recall: 0.287 Fbeta: 0.375 | Number of samples: 10771
Feature: native-country | Category: United-States | Precision: 0.718 | Recall: 0.262 Fbeta: 0.383 | Number of samples: 29170
Feature: native-country | Category: Cuba | Precision: 1.000 | Recall: 0.120 Fbeta: 0.214 | Number of samples: 95
Feature: native-country | Category: Jamaica | Precision: 1.000 | Recall: 0.200 Fbeta: 0.333 | Number of samples: 81
Feature: native-country | Category: India | Precision: 0.867 | Recall: 0.325 Fbeta: 0.473 | Number of samples: 100
Feature: native-country | Category: ? | Precision: 0.776 | Recall: 0.308 Fbeta: 0.441 | Number of samples: 583
Feature: native-country | Category: Mexico | Precision: 0.500 | Recall: 0.182 Fbeta: 0.267 | Number of samples: 643
Feature: native-country | Category: South | Precision: 0.583 | Recall: 0.438 Fbeta: 0.500 | Number of samples: 80
Feature: native-country | Category: Puerto-Rico | Precision: 0.667 | Recall: 0.333 Fbeta: 0.444 | Number of samples: 114
Feature: native-country | Category: Honduras | Precision: 1.000 | Recall: 1.000 Fbeta: 1.000 | Number of samples: 13
Feature: native-country | Category: England | Precision: 0.714 | Recall: 0.167 Fbeta: 0.270 | Number of samples: 90
Feature: native-country | Category: Canada | Precision: 0.615 | Recall: 0.205 Fbeta: 0.308 | Number of samples: 121
Feature: native-country | Category: Germany | Precision: 0.909 | Recall: 0.227 Fbeta: 0.364 | Number of samples: 137
Feature: native-country | Category: Iran | Precision: 0.833 | Recall: 0.278 Fbeta: 0.417 | Number of samples: 43
Feature: native-country | Category: Philippines | Precision: 0.778 | Recall: 0.230 Fbeta: 0.354 | Number of samples: 198
Feature: native-country | Category: Italy | Precision: 0.800 | Recall: 0.160 Fbeta: 0.267 | Number of samples: 73
Feature: native-country | Category: Poland | Precision: 0.750 | Recall: 0.250 Fbeta: 0.375 | Number of samples: 60
Feature: native-country | Category: Columbia | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 59
Feature: native-country | Category: Cambodia | Precision: 0.500 | Recall: 0.143 Fbeta: 0.222 | Number of samples: 19
Feature: native-country | Category: Thailand | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 18
Feature: native-country | Category: Ecuador | Precision: 0.500 | Recall: 0.250 Fbeta: 0.333 | Number of samples: 28
Feature: native-country | Category: Laos | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 18
Feature: native-country | Category: Taiwan | Precision: 0.800 | Recall: 0.200 Fbeta: 0.320 | Number of samples: 51
Feature: native-country | Category: Haiti | Precision: 0.000 | Recall: 0.000 Fbeta: 1.000 | Number of samples: 44
Feature: native-country | Category: Portugal | Precision: 0.000 | Recall: 0.000 Fbeta: 1.000 | Number of samples: 37
Feature: native-country | Category: Dominican-Republic | Precision: 0.500 | Recall: 0.500 Fbeta: 0.500 | Number of samples: 70
Feature: native-country | Category: El-Salvador | Precision: 0.750 | Recall: 0.333 Fbeta: 0.462 | Number of samples: 106
Feature: native-country | Category: France | Precision: 1.000 | Recall: 0.167 Fbeta: 0.286 | Number of samples: 29
Feature: native-country | Category: Guatemala | Precision: 1.000 | Recall: 0.333 Fbeta: 0.500 | Number of samples: 64
Feature: native-country | Category: China | Precision: 0.625 | Recall: 0.250 Fbeta: 0.357 | Number of samples: 75
Feature: native-country | Category: Japan | Precision: 0.875 | Recall: 0.292 Fbeta: 0.438 | Number of samples: 62
Feature: native-country | Category: Yugoslavia | Precision: 1.000 | Recall: 0.167 Fbeta: 0.286 | Number of samples: 16
Feature: native-country | Category: Peru | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 31
Feature: native-country | Category: Outlying-US(Guam-USVI-etc) | Precision: 1.000 | Recall: 1.000 Fbeta: 1.000 | Number of samples: 14
Feature: native-country | Category: Scotland | Precision: 1.000 | Recall: 0.333 Fbeta: 0.500 | Number of samples: 12
Feature: native-country | Category: Trinadad&Tobago | Precision: 0.500 | Recall: 0.500 Fbeta: 0.500 | Number of samples: 19
Feature: native-country | Category: Greece | Precision: 0.625 | Recall: 0.625 Fbeta: 0.625 | Number of samples: 29
Feature: native-country | Category: Nicaragua | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 34
Feature: native-country | Category: Vietnam | Precision: 0.400 | Recall: 0.400 Fbeta: 0.400 | Number of samples: 67
Feature: native-country | Category: Hong | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 20
Feature: native-country | Category: Ireland | Precision: 0.500 | Recall: 0.200 Fbeta: 0.286 | Number of samples: 24
Feature: native-country | Category: Hungary | Precision: 0.000 | Recall: 0.000 Fbeta: 1.000 | Number of samples: 13
Feature: native-country | Category: Holand-Netherlands | Precision: 0.000 | Recall: 1.000 Fbeta: 0.000 | Number of samples: 1
