Fixed Feature: workclass
	workclass=Private		precision:0.6	recall0.63	fbeta0.61
	native_country=El-Salvador		precision:0.5	recall0.5	fbeta0.5
	native_country=France		precision:0.5	recall0.5	fbeta0.5
	native_country=China		precision:0.4	recall1.0	fbeta0.57
	native_country=Philippines		precision:0.56	recall0.82	fbeta0.67
	native_country=Greece		precision:0.0	recall0.0	fbeta0.0
	native_country=Puerto-Rico		precision:0.5	recall1.0	fbeta0.67
	native_country=Honduras		precision:1.0	recall1.0	fbeta1.0
	native_country=Trinadad&Tobago		precision:0.0	recall1.0	fbeta0.0
	native_country=South		precision:0.5	recall1.0	fbeta0.67
	native_country=Vietnam		precision:1.0	recall0.33	fbeta0.5
	native_country=Laos		precision:0.0	recall0.0	fbeta0.0
	native_country=Jamaica		precision:0.33	recall0.2	fbeta0.25
	native_country=Portugal		precision:1.0	recall0.0	fbeta0.0
	native_country=Japan		precision:0.67	recall0.5	fbeta0.57
	native_country=Dominican-Republic		precision:0.0	recall1.0	fbeta0.0
	native_country=Scotland		precision:1.0	recall1.0	fbeta1.0
	native_country=Outlying-US(Guam-USVI-etc)		precision:1.0	recall1.0	fbeta1.0
	native_country=Thailand		precision:1.0	recall1.0	fbeta1.0
	native_country=Peru		precision:1.0	recall1.0	fbeta1.0
	native_country=Columbia		precision:1.0	recall0.0	fbeta0.0
	native_country=Hungary		precision:1.0	recall1.0	fbeta1.0
	native_country=Ecuador		precision:1.0	recall0.0	fbeta0.0
	native_country=Hong		precision:0.0	recall0.0	fbeta0.0
